Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
FIN 202,FIN 202.B,Finans,MEHMET ERKAN SAVRAN,Pazartesi 08:40 - 11:30
FIN 202,FIN 202.C,Finans,CANSU İSKENDEROĞLU ŞAHİN,Çarşamba 12:40 - 15:30
FIN 204,FIN 204.A,Finansal Tablolar Analizi,CANSU İSKENDEROĞLU ŞAHİN,Perşembe 11:40 - 14:30
FIN 301,FIN 301.A,Yatırımlar,ERRIKOS MELISSINOS,Çarşamba 12:40 - 15:30
FIN 302,FIN 302.A,Kurumsal Finans,ÖZLEM AKIN,Perşembe 10:40 - 13:30
FIN 312,FIN 312.A,Bankacılık ve Finansal Aracılık,ÖZLEM AKIN,Pazartesi 12:40 - 15:30
FIN 314,FIN 314.A,Gayrimenkul Finansmanı,IŞIL EROL,Salı 10:40 - 13:30
FIN 403,FIN 403.A,Bağımsız Araştırma - FIN,CEYDA MADEN EYİUSTA,
FIN 412,FIN 412.A,İleri Düzey Yatırımlar,UMUT GÖKÇEN,Salı 13:40 - 16:30
IBUS 104,IBUS 104.A,Küresel Yöneticiliğe ilk Adım,NESİM AVİĞDOR,Çarşamba 12:40 - 15:30
IBUS 104,IBUS 104.B,Küresel Yöneticiliğe ilk Adım,NESİM AVİĞDOR,Salı 11:40 - 14:30
IBUS 203,IBUS 203.A,Dünyayı Anlamak: Kısa Bir Giriş,ASLIHAN PERİHAN TURAN,Perşembe 09:40 - 12:30
IBUS 204,IBUS 204.A,Uluslararası İşletme,İLAYDA NEMLİOĞLU ÖNCÜ,Salı 11:40 - 14:30
IBUS 204,IBUS 204.B,Uluslararası İşletme,ZEYNEP KABADAYI KUŞCU,Salı 13:40 - 16:30
IBUS 301,IBUS 301.A,İhracat ve İthalat Yönetimi,NESİM AVİĞDOR,Pazartesi 11:40 - 14:30
IBUS 305,IBUS 305.A,Uluslararası Lojistik ,ARİF ORÇUN SÖYLEMEZ,Pazartesi 08:40 - 11:30
IBUS 306,IBUS 306.A,Çok Uluslu Şirketlerin Yönetimi,ARİF ORÇUN SÖYLEMEZ,Pazartesi 14:40 - 17:30
IBUS 307,IBUS 307.A,Uluslararası İşletme ve Ticaret Hukuku,GÜLFER MERİÇ,Perşembe 11:40 - 14:30
IBUS 402,IBUS 402.A,Küresel Stratejik Yönetim,MEHMET ERDEM GENÇ,Çarşamba 11:40 - 14:30
IBUS 404,IBUS 404.A,Küresel İşletme Entegrasyonu,MEHMET ERDEM GENÇ,Salı 10:40 - 13:30
IBUS 405,IBUS 405.A,Bağımsız Araştırma - IBUS,CEYDA MADEN EYİUSTA,
IBUS 406,IBUS 406.A,Küresel Rekabetçi Stratejisi ve Dinamikleri,NİLÜFER YAPICI,Perşembe 10:40 - 13:30
IBUS 411,IBUS 411.A,Doğrudan Dış Yatırım için Ülke Analizi,İLAYDA NEMLİOĞLU ÖNCÜ,Cuma 08:40 - 11:30
MGMT 202,MGMT 202.A,Örgütler,NERİMAN GÖKÇAY,Cuma 09:40 - 12:30
MGMT 202,MGMT 202.B,Örgütler,AYBİKE MERGEN,Çarşamba 09:40 - 12:30
MGMT 202,MGMT 202.C,Örgütler,AYBİKE MERGEN,Cuma 09:40 - 12:30
MGMT 202,MGMT 202.D,Örgütler,CEYDA MADEN EYİUSTA,Çarşamba 09:40 - 12:30
MGMT 202,MGMT 202.E,Örgütler,NERİMAN GÖKÇAY,Çarşamba 09:40 - 12:30
MGMT 306,MGMT 306.A,İnsan Kaynakları Yönetimi,MAHMUT BAYAZIT,Pazartesi 09:40 - 12:30
MGMT 311,MGMT 311.A,Proje Yönetimi,ERIK DEN HARTIGH,Salı 08:40 - 11:30
MGMT 312,MGMT 312.A,Örgüt Kuramı ve Tasarımı,BEHLÜL ÜSDİKEN,Perşembe 13:40 - 16:30
MGMT 317,MGMT 317.A,İş Etiği,SİBEL OKTAR THOMAS,Pazartesi 12:40 - 15:30
MGMT 401,MGMT 401.A,Teknoloji ve İnovasyon Yönetimi,ERIK DEN HARTIGH,Çarşamba 15:40 - 18:30
MGMT 402,MGMT 402.A,Strateji,ALPTEGİN ALBAYRAKTAROĞLU,Çarşamba 08:40 - 11:30
MGMT 402,MGMT 402.B,Strateji,ALPTEGİN ALBAYRAKTAROĞLU,Pazartesi 08:40 - 11:30
MGMT 404,MGMT 404.A,Uluslararası Yönetim,NİLÜFER YAPICI,Salı 13:40 - 16:30
MGMT 405,MGMT 405.A,Bağımsız Araştırma - MGMT,CEYDA MADEN EYİUSTA,
MIS 104,MIS 104.A,Nesneye Dayalı Programlama Temelleri,YAVUZ SELİM HİNDİSTAN,Perşembe 11:40 - 14:30
MIS 203,MIS 203.A,Veritabanı Yönetimi,YAVUZ SELİM HİNDİSTAN,Cuma 09:40 - 12:30
MIS 206,MIS 206.A,İş Süreçleri Analizi,MELTEM ÖZTURAN,Salı 08:40 - 11:30
MIS 304,MIS 304.A,Bilişim Güvenliği,ALİ OSMAN ÖZDİLEK,Perşembe 16:40 - 19:30
MIS 306,MIS 306.A,E-İş'in Temelleri,MELİKE NUR FINDIKOĞLU,Salı 13:40 - 16:30
MIS 311,MIS 311.A,Yönetim Bilişim Sistemlerine Giriş,MESUT SAYIN,Çarşamba 15:40 - 18:30
MIS 311,MIS 311.B,Yönetim Bilişim Sistemlerine Giriş,MESUT SAYIN,Çarşamba 08:40 - 11:30
MIS 311,MIS 311.C,Yönetim Bilişim Sistemlerine Giriş,MESUT SAYIN,Pazartesi 15:40 - 18:30
MIS 317,MIS 317.A,İşletmeler için Bulut Bilişim,YAVUZ SELİM HİNDİSTAN,Çarşamba 12:40 - 15:30
MIS 321,MIS 321.A,Veri Madenciliği,ORÇUN TEMİZKAN,Salı 10:40 - 13:30
MIS 324,MIS 324.A,IS Proje Yonetimi,MELİKE NUR FINDIKOĞLU,Perşembe 10:40 - 13:30
MIS 403,MIS 403.A,Bağımsız Araştırma - MIS,CEYDA MADEN EYİUSTA,
MKTG 201,MKTG 201.A,Pazarlama,ZEYNEP MÜGE GÜZEL,Çarşamba 09:40 - 12:30
MKTG 201,MKTG 201.B,Pazarlama,BİGE SAATÇİOĞLU,Perşembe 10:40 - 13:30
MKTG 201,MKTG 201.C,Pazarlama,BİGE SAATÇİOĞLU,Pazartesi 08:40 - 11:30
MKTG 311,MKTG 311.A,Pazarlama Araştırması,ZEYNEP MÜGE GÜZEL,Cuma 09:40 - 12:30
MKTG 312,MKTG 312.A,Reklamcılık ve Bütünsel Pazarlama İletişimi,CEREN HAYRAN ŞANLI,Salı 08:40 - 11:30
MKTG 313,MKTG 313.A,Pazarlama Stratejileri,MÜNİR TOLGA AKÇURA,Cuma 09:40 - 12:30
MKTG 314,MKTG 314.A,Tüketici Davranışları,BİGE SAATÇİOĞLU,Pazartesi 12:40 - 15:30
MKTG 315,MKTG 315.A,Uluslararası Pazarlama,XIAOHAN WEN,Perşembe 13:40 - 16:30
MKTG 403,MKTG 403.A,Bağımsız Araştırma - MKTG,CEYDA MADEN EYİUSTA,
MKTG 417,MKTG 417.A,İşletmeler Arası Pazarlama,VOLKAN YENİARAS,Pazartesi 11:40 - 14:30
OPER 202,OPER 202.A,Operasyon Yönetimi,BAHRİYE CESARET,Salı 08:40 - 11:30 / Cuma 18:40 - 19:30
OPER 202,OPER 202.B,Operasyon Yönetimi,BAHRİYE CESARET,Pazartesi 15:40 - 18:30 / Cuma 18:40 - 19:30
OPER 202,OPER 202.C,Operasyon Yönetimi,EYLEM KOCA,Çarşamba 15:40 - 18:30 / Cuma 08:40 - 09:30
OPER 312,OPER 312.A,Tedarik Zinciri Yönetimi,EYLEM KOCA,Çarşamba 08:40 - 11:30
OPER 314,OPER 314.A,Hizmet Operasyonları Yönetimi,BO WEI,Perşembe 13:40 - 16:30
OPER 403,OPER 403.A,Bağımsız Araştırma - OPER,CEYDA MADEN EYİUSTA,
MATH 101,MATH 101.A,Sosyal Bilimler için Matematik I,JÜLİDE MİRAY ÖZKAN,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 101,MATH 101.B,Sosyal Bilimler için Matematik I,JÜLİDE MİRAY ÖZKAN,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 101,MATH 101.C,Sosyal Bilimler için Matematik I,SAADET ERBAY,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 101,MATH 101.D,Sosyal Bilimler için Matematik I,SAADET ERBAY,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 101,MATH 101.E,Sosyal Bilimler için Matematik I,BURÇİN GÜNEŞ,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 101,MATH 101.F,Sosyal Bilimler için Matematik I,BURÇİN GÜNEŞ,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 101R,MATH 101R.A,Sosyal Bilimler için Matematik I - Rec.,JÜLİDE MİRAY ÖZKAN,Çarşamba 15:40 - 16:30
MATH 101R,MATH 101R.B,Sosyal Bilimler için Matematik I - Rec.,JÜLİDE MİRAY ÖZKAN,Çarşamba 11:40 - 12:30
MATH 101R,MATH 101R.C,Sosyal Bilimler için Matematik I - Rec.,SAADET ERBAY,Çarşamba 15:40 - 16:30
MATH 101R,MATH 101R.D,Sosyal Bilimler için Matematik I - Rec.,SAADET ERBAY,Çarşamba 11:40 - 12:30
MATH 101R,MATH 101R.E,Sosyal Bilimler için Matematik I - Rec.,BURÇİN GÜNEŞ,Çarşamba 15:40 - 16:30
MATH 101R,MATH 101R.F,Sosyal Bilimler için Matematik I - Rec.,BURÇİN GÜNEŞ,Çarşamba 11:40 - 12:30
MATH 102,MATH 102.A,Sosyal Bilimler için Matematik II,AYÇA ÇEŞMELİOĞLU GÜL,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 102,MATH 102.B,Sosyal Bilimler için Matematik II,AYÇA ÇEŞMELİOĞLU GÜL,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 102,MATH 102.C,Sosyal Bilimler için Matematik II,CÜNEYT FERAHLAR,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 102,MATH 102.D,Sosyal Bilimler için Matematik II,CÜNEYT FERAHLAR,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 102R,MATH 102R.A,Sosyal Bilimler için Matematik II - Rec.,AYÇA ÇEŞMELİOĞLU GÜL,Çarşamba 11:40 - 12:30
MATH 102R,MATH 102R.B,Sosyal Bilimler için Matematik II - Rec.,AYÇA ÇEŞMELİOĞLU GÜL,Çarşamba 15:40 - 16:30
MATH 102R,MATH 102R.C,Sosyal Bilimler için Matematik II - Rec.,CÜNEYT FERAHLAR,Çarşamba 11:40 - 12:30
MATH 102R,MATH 102R.D,Sosyal Bilimler için Matematik II - Rec.,CÜNEYT FERAHLAR,Çarşamba 15:40 - 16:30
MATH 103,MATH 103.A,Mühendislik için Yüksek Matematik I,HANDAN BORLUK,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 16:30
MATH 103,MATH 103.B,Mühendislik için Yüksek Matematik I,HANDAN BORLUK,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 12:30
MATH 103R,MATH 103R.A,Mühendislik için Yüksek Matematik I - Uygulama,JÜLİDE MİRAY ÖZKAN,Perşembe 12:40 - 14:30
MATH 103R,MATH 103R.B,Mühendislik için Yüksek Matematik I - Uygulama,JÜLİDE MİRAY ÖZKAN,Perşembe 14:40 - 16:30
MATH 104,MATH 104.A,Mühendislik için Yüksek Matematik II,CAN DEHA KARIKSIZ,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 12:30
MATH 104,MATH 104.B,Mühendislik için Yüksek Matematik II,CAN DEHA KARIKSIZ,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 16:30
MATH 104,MATH 104.C,Mühendislik için Yüksek Matematik II,MEHMET ÖZ,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 12:30
MATH 104,MATH 104.D,Mühendislik için Yüksek Matematik II,MEHMET ÖZ,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 16:30
MATH 104R,MATH 104R.A,Mühendislik için Yüksek Matematik II - Rec.,SONGÜL ESİN,Perşembe 14:40 - 16:30
MATH 104R,MATH 104R.B,Mühendislik için Yüksek Matematik II - Rec.,SONGÜL ESİN,Perşembe 12:40 - 14:30
MATH 104R,MATH 104R.C,Mühendislik için Yüksek Matematik II - Rec.,MEHMET ÖZ,Perşembe 14:40 - 16:30
MATH 104R,MATH 104R.D,Mühendislik için Yüksek Matematik II - Rec.,MEHMET ÖZ,Perşembe 12:40 - 14:30
MATH 107,MATH 107.A,Sosyal Bilimler için Matematik I,SONGÜL ESİN,Perşembe 08:40 - 11:30
MATH 107R,MATH 107R.A,Sosyal Bilimler için Matematik I - Rec.,BESTE MADRAN,Çarşamba 15:40 - 16:30
MATH 112,MATH 112.A,Ayrık Matematik,BURÇİN GÜNEŞ,Salı 08:40 - 10:30 / Perşembe 08:40 - 10:30
MATH 201,MATH 201.A,Sosyal Bilimler için Olasılık,MUZAFFER AKAT,Salı 11:40 - 14:30
MATH 201,MATH 201.B,Sosyal Bilimler için Olasılık,MUZAFFER AKAT,Pazartesi 15:40 - 18:30
MATH 201,MATH 201.C,Sosyal Bilimler için Olasılık,MUZAFFER AKAT,Çarşamba 15:40 - 18:30
MATH 201R,MATH 201R.A,Sosyal Bilimler için Olasılık - Rec.,MUZAFFER AKAT,Cuma 14:40 - 15:30
MATH 201R,MATH 201R.B,Sosyal Bilimler için Olasılık - Rec.,MUZAFFER AKAT,Cuma 14:40 - 15:30
MATH 201R,MATH 201R.C,Sosyal Bilimler için Olasılık - Rec.,MUZAFFER AKAT,Cuma 14:40 - 15:30
MATH 202,MATH 202.A,Sosyal Bilimler için İstatistik,SEÇKİN ÖZBİLEN,Salı 08:40 - 11:30
MATH 202,MATH 202.B,Sosyal Bilimler için İstatistik,SEÇKİN ÖZBİLEN,Pazartesi 15:40 - 18:30
MATH 202R,MATH 202R.A,Sosyal Bilimler İçin İstatistik - Uygulama,SEÇKİN ÖZBİLEN,Perşembe 16:40 - 17:30
MATH 202R,MATH 202R.B,Sosyal Bilimler İçin İstatistik - Uygulama,SEÇKİN ÖZBİLEN,Perşembe 17:40 - 18:30
MATH 211,MATH 211.A,Doğrusal Cebir,SELÇUK DEMİR,Pazartesi 11:40 - 14:30
MATH 211,MATH 211.B,Doğrusal Cebir,SELÇUK DEMİR,Çarşamba 16:40 - 19:30
MATH 211R,MATH 211R.A,Doğrusal Cebir - Uygulama,SELÇUK DEMİR,Perşembe 12:40 - 13:30
MATH 211R,MATH 211R.B,Doğrusal Cebir - Uygulama,SELÇUK DEMİR,Perşembe 11:40 - 12:30
MATH 212,MATH 212.A,Diferansiyel Denklemler,BERKAY ANAHTARCI,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 12:30
MATH 212,MATH 212.B,Diferansiyel Denklemler,BERKAY ANAHTARCI,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 16:30
MATH 215,MATH 215.A,Olasılık ve Rassal Değişkenler,İSMAİL BAŞOĞLU,Salı 12:40 - 15:30
MATH 215R,MATH 215R.A,Olasılık ve Rassal Değişkenler - Rec.,İSMAİL BAŞOĞLU,Cuma 08:40 - 10:30
MATH 216,MATH 216.A,Uygulamalı İstatistik,DİLEK GÜNNEÇ DANIŞ,Pazartesi 15:40 - 18:30
MATH 216R,MATH 216R.A,Uygulamalı istatistik - Uygulama ,DİLEK GÜNNEÇ DANIŞ,Cuma 09:40 - 11:30
MATH 217,MATH 217.A,Olasılık ve İstatistik,ÇAĞATAY EDEMEN,Pazartesi 16:40 - 18:30 / Çarşamba 16:40 - 18:30
MATH 217,MATH 217.B,Olasılık ve İstatistik,ÇAĞATAY EDEMEN,Salı 11:40 - 13:30 / Çarşamba 08:40 - 10:30
MATH 693,MATH 693.A,Matematik Yüksek Lisans Tez Çalışması I,ALİ EKİCİ,
MATH 694,MATH 694.A,Matematik Yüksek Lisans Tez Çalışması II,ALİ EKİCİ,
MATH 695,MATH 695.A,Matematik Yüksek Lisans Tez Çalışması III,ALİ EKİCİ,
ENG 102,ENG 102.A,İngilizce II,AYŞE NESLİHAN SABUNCU,Perşembe 10:40 - 12:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.AA,İngilizce II,ECE BETİL ARPACIOĞLU,Salı 11:40 - 13:30 / Perşembe 12:40 - 14:30
ENG 102,ENG 102.AB,İngilizce II,MELTEM AKPINAR YILMAZ,Perşembe 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 102,ENG 102.AC,İngilizce II,MELTEM AKPINAR YILMAZ,Pazartesi 10:40 - 12:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.AD,İngilizce II,SEVGÜL AKBUZ EZGİN,Salı 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.AE,İngilizce II,SEVGÜL AKBUZ EZGİN,Çarşamba 08:40 - 10:30 / Cuma 16:40 - 18:30
ENG 102,ENG 102.AF,İngilizce II,ALI NEZAMI,Perşembe 14:40 - 16:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.AG,İngilizce II,ALI NEZAMI,Çarşamba 16:40 - 18:30 / Cuma 16:40 - 18:30
ENG 102,ENG 102.AH,İngilizce II,ALI NEZAMI,Salı 16:40 - 18:30 / Cuma 14:40 - 16:30
ENG 102,ENG 102.AI,İngilizce II,PETEK ŞİRİN,Perşembe 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 102,ENG 102.AJ,İngilizce II,PETEK ŞİRİN,Çarşamba 08:40 - 10:30 / Cuma 14:40 - 16:30
ENG 102,ENG 102.AK,İngilizce II,NİL ALGAN BİLEN,Perşembe 14:40 - 16:30 / Cuma 08:40 - 10:30
ENG 102,ENG 102.AL,İngilizce II,ÖMER MAHİR SARIGÜL,Salı 14:40 - 16:30 / Çarşamba 08:40 - 10:30
ENG 102,ENG 102.B,İngilizce II,AYŞE NESLİHAN SABUNCU,Salı 14:40 - 16:30 / Çarşamba 08:40 - 10:30
ENG 102,ENG 102.C,İngilizce II,AYŞE NESLİHAN SABUNCU,Salı 11:40 - 13:30 / Perşembe 12:40 - 14:30
ENG 102,ENG 102.D,İngilizce II,ÖMER MAHİR SARIGÜL,Perşembe 10:40 - 12:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.E,İngilizce II,NİL ALGAN BİLEN,Salı 14:40 - 16:30 / Çarşamba 08:40 - 10:30
ENG 102,ENG 102.F,İngilizce II,MELTEM AKPINAR YILMAZ,Salı 11:40 - 13:30 / Perşembe 12:40 - 14:30
ENG 102,ENG 102.G,İngilizce II,SEDEF ERDOĞAN GIOVANELLI,Perşembe 10:40 - 12:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.H,İngilizce II,SEDEF ERDOĞAN GIOVANELLI,Salı 14:40 - 16:30 / Çarşamba 08:40 - 10:30
ENG 102,ENG 102.I,İngilizce II,SEDEF ERDOĞAN GIOVANELLI,Salı 12:40 - 14:30 / Çarşamba 10:40 - 12:30
ENG 102,ENG 102.J,İngilizce II,ELMAS ONBAŞI GÜL,Perşembe 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 102,ENG 102.K,İngilizce II,ELMAS ONBAŞI GÜL,Salı 14:40 - 16:30 / Çarşamba 08:40 - 10:30
ENG 102,ENG 102.L,İngilizce II,ELMAS ONBAŞI GÜL,Salı 08:40 - 10:30 / Perşembe 11:40 - 13:30
ENG 102,ENG 102.M,İngilizce II,İLKAY TUZCU TIĞLI,Pazartesi 10:40 - 12:30 / Salı 08:40 - 10:30
ENG 102,ENG 102.N,İngilizce II,İLKAY TUZCU TIĞLI,Çarşamba 08:40 - 10:30 / Cuma 14:40 - 16:30
ENG 102,ENG 102.O,İngilizce II,İLKAY TUZCU TIĞLI,Pazartesi 14:40 - 16:30 / Cuma 16:40 - 18:30
ENG 102,ENG 102.P,İngilizce II,SANİYE ÇANCI ÇALIŞANELLER,Pazartesi 10:40 - 12:30 / Salı 08:40 - 10:30
ENG 102,ENG 102.Q,İngilizce II,SANİYE ÇANCI ÇALIŞANELLER,Çarşamba 08:40 - 10:30 / Cuma 14:40 - 16:30
ENG 102,ENG 102.R,İngilizce II,SANİYE ÇANCI ÇALIŞANELLER,Pazartesi 16:40 - 18:30 / Salı 16:40 - 18:30
ENG 102,ENG 102.S,İngilizce II,SAADET TIKAÇ,Pazartesi 10:40 - 12:30 / Salı 08:40 - 10:30
ENG 102,ENG 102.T,İngilizce II,SAADET TIKAÇ,Çarşamba 08:40 - 10:30 / Cuma 14:40 - 16:30
ENG 102,ENG 102.U,İngilizce II,SAADET TIKAÇ,Pazartesi 16:40 - 18:30 / Salı 14:40 - 16:30
ENG 102,ENG 102.V,İngilizce II,GITI AMININAJAFI,Salı 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.W,İngilizce II,GITI AMININAJAFI,Çarşamba 08:40 - 10:30 / Cuma 14:40 - 16:30
ENG 102,ENG 102.X,İngilizce II,GITI AMININAJAFI,Perşembe 14:40 - 16:30 / Cuma 08:40 - 10:30
ENG 102,ENG 102.Y,İngilizce II,ECE BETİL ARPACIOĞLU,Pazartesi 16:40 - 18:30 / Salı 13:40 - 15:30
