Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
ENG 101,ENG 101.AX,İngilizce I,ÖMER MAHİR SARIGÜL,Salı 08:40 - 10:30 / Çarşamba 08:40 - 10:30
ENG 101,ENG 101.AY,İngilizce I,ÖMER MAHİR SARIGÜL,Çarşamba 12:40 - 14:30 / Cuma 08:40 - 10:30
ENG 101,ENG 101.B,İngilizce I,HALİME KUTLUTAN AK,Pazartesi 14:40 - 16:30 / Perşembe 14:40 - 16:30
ENG 101,ENG 101.C,İngilizce I,HALİME KUTLUTAN AK,Çarşamba 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 101,ENG 101.D,İngilizce I,IŞIL ÖZDEMİR,Çarşamba 11:40 - 13:30 / Perşembe 11:40 - 13:30
ENG 101,ENG 101.E,İngilizce I,IŞIL ÖZDEMİR,Pazartesi 14:40 - 16:30 / Perşembe 14:40 - 16:30
ENG 101,ENG 101.F,İngilizce I,IŞIL ÖZDEMİR,Çarşamba 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 101,ENG 101.G,İngilizce I,SHIVA KHOEI OSKOUEI,Çarşamba 11:40 - 13:30 / Perşembe 11:40 - 13:30
ENG 101,ENG 101.H,İngilizce I,SHIVA KHOEI OSKOUEI,Pazartesi 14:40 - 16:30 / Perşembe 14:40 - 16:30
ENG 101,ENG 101.I,İngilizce I,SHIVA KHOEI OSKOUEI,Çarşamba 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 101,ENG 101.J,İngilizce I,DİDEM TARTAN,Çarşamba 11:40 - 13:30 / Perşembe 11:40 - 13:30
ENG 101,ENG 101.K,İngilizce I,DİDEM TARTAN,Pazartesi 14:40 - 16:30 / Perşembe 14:40 - 16:30
ENG 101,ENG 101.L,İngilizce I,DİDEM TARTAN,Çarşamba 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 101,ENG 101.M,İngilizce I,SEVGÜL AKBUZ EZGİN,Pazartesi 12:40 - 14:30 / Cuma 14:40 - 16:30
ENG 101,ENG 101.N,İngilizce I,SEVGÜL AKBUZ EZGİN,Salı 08:40 - 10:30 / Çarşamba 08:40 - 10:30
ENG 101,ENG 101.O,İngilizce I,SEVGÜL AKBUZ EZGİN,Pazartesi 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 101,ENG 101.P,İngilizce I,İLKAY TUZCU TIĞLI,Pazartesi 12:40 - 14:30 / Cuma 14:40 - 16:30
ENG 101,ENG 101.Q,İngilizce I,İLKAY TUZCU TIĞLI,Salı 08:40 - 10:30 / Çarşamba 08:40 - 10:30
ENG 101,ENG 101.R,İngilizce I,İLKAY TUZCU TIĞLI,Pazartesi 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 101,ENG 101.S,İngilizce I,SAADET TIKAÇ,Pazartesi 12:40 - 14:30 / Cuma 14:40 - 16:30
ENG 101,ENG 101.T,İngilizce I,SAADET TIKAÇ,Salı 08:40 - 10:30 / Çarşamba 08:40 - 10:30
ENG 101,ENG 101.U,İngilizce I,SAADET TIKAÇ,Pazartesi 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 101,ENG 101.V,İngilizce I,ERAY SEVİNGİL BİLİCİ,Cuma 14:40 - 16:30 / Pazartesi 12:40 - 14:30
ENG 101,ENG 101.W,İngilizce I,ERAY SEVİNGİL BİLİCİ,Salı 08:40 - 10:30 / Çarşamba 08:40 - 10:30
ENG 101,ENG 101.X,İngilizce I,ERAY SEVİNGİL BİLİCİ,Pazartesi 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 101,ENG 101.Y,İngilizce I,ALI NEZAMI,Pazartesi 15:40 - 17:30 / Cuma 14:40 - 16:30
ENG 101,ENG 101.Z,İngilizce I,ALI NEZAMI,Çarşamba 16:40 - 18:30 / Perşembe 15:40 - 17:30
ENG 102,ENG 102.A,İngilizce II,AYŞE NESLİHAN SABUNCU,Pazartesi 12:40 - 14:30 / Perşembe 11:40 - 13:30
ENG 102,ENG 102.B,İngilizce II,AYŞE NESLİHAN SABUNCU,Perşembe 16:40 - 18:30 / Cuma 16:40 - 18:30
ENG 102,ENG 102.C,İngilizce II,AYŞE NESLİHAN SABUNCU,Çarşamba 16:40 - 18:30 / Cuma 14:40 - 16:30
ENG 102,ENG 102.D,İngilizce II,SEDEF ERDOĞAN GIOVANELLI,Pazartesi 13:40 - 15:30 / Çarşamba 12:40 - 14:30
ENG 102,ENG 102.E,İngilizce II,SEDEF ERDOĞAN GIOVANELLI,Cuma 08:40 - 10:30 / Perşembe 12:40 - 14:30
ENG 102,ENG 102.F,İngilizce II,SEDEF ERDOĞAN GIOVANELLI,Çarşamba 16:40 - 18:30 / Perşembe 16:40 - 18:30
ENG 102,ENG 102.G,İngilizce II,BEDRA BETÜL ŞENOL,Pazartesi 12:40 - 14:30 / Çarşamba 12:40 - 14:30
ENG 102,ENG 102.H,İngilizce II,BEDRA BETÜL ŞENOL,Salı 08:40 - 10:30 / Cuma 08:40 - 10:30
ENG 102,ENG 102.I,İngilizce II,BEDRA BETÜL ŞENOL,Pazartesi 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 102,ENG 102.J,İngilizce II,BURAK ŞENEL,Cuma 08:40 - 10:30 / Pazartesi 12:40 - 14:30
ENG 102,ENG 102.K,İngilizce II,BURAK ŞENEL,Pazartesi 14:40 - 16:30 / Çarşamba 16:40 - 18:30
ENG 102,ENG 102.L,İngilizce II,PETEK ŞİRİN,Salı 11:40 - 13:30 / Cuma 08:40 - 10:30
ENG 102,ENG 102.M,İngilizce II,PETEK ŞİRİN,Salı 14:40 - 16:30 / Perşembe 14:40 - 16:30
ENG 102,ENG 102.N,İngilizce II,NİL ALGAN BİLEN,Salı 16:40 - 18:30 / Çarşamba 16:40 - 18:30
ENG 102,ENG 102.O,İngilizce II,SERKAN ARAS,Pazartesi 11:40 - 13:30 / Salı 12:40 - 14:30
ENG 102,ENG 102.P,İngilizce II,NİL ALGAN BİLEN,Çarşamba 14:40 - 16:30 / Perşembe 14:40 - 16:30
FIN 202,FIN 202.A,Finans,CANSU İSKENDEROĞLU ŞAHİN,Cuma 09:40 - 12:30
FIN 202,FIN 202.B,Finans,CANSU İSKENDEROĞLU ŞAHİN,Perşembe 11:40 - 14:30
HIST 201,HIST 201.A,Atatürk İlkeleri ve İnkılap Tarihi I,ÖZLEM DİLBER,Pazartesi 14:40 - 16:30
HIST 201,HIST 201.B,Atatürk İlkeleri ve İnkılap Tarihi I,ÖZLEM DİLBER,Pazartesi 16:40 - 18:30
HIST 201,HIST 201.C,Atatürk İlkeleri ve İnkılap Tarihi I,ÖZKAN AKPINAR,Cuma 16:40 - 18:30
HIST 201,HIST 201.D,Atatürk İlkeleri ve İnkılap Tarihi I,GÜLDENİZ KIBRIS,Çarşamba 16:40 - 18:30
HIST 201,HIST 201.E,Atatürk İlkeleri ve İnkılap Tarihi I,ÖZLEM DİLBER,Salı 14:40 - 16:30
HIST 201,HIST 201.F,Atatürk İlkeleri ve İnkılap Tarihi I,ÖZKAN AKPINAR,Perşembe 16:40 - 18:30
HIST 201,HIST 201.G,Atatürk İlkeleri ve İnkılap Tarihi I,ÖZKAN AKPINAR,Perşembe 14:40 - 16:30
HIST 201,HIST 201.H,Atatürk İlkeleri ve İnkılap Tarihi I,LEMAN MERAL ÜNAL,Pazartesi 14:40 - 16:30
HIST 201,HIST 201.I,Atatürk İlkeleri ve İnkılap Tarihi I,BAŞAK AKGÜL KOVANKAYA,Perşembe 14:40 - 16:30
HIST 201,HIST 201.J,Atatürk İlkeleri ve İnkılap Tarihi I,ALPKAN BİRELMA,Cuma 14:40 - 16:30
HIST 201,HIST 201.K,Atatürk İlkeleri ve İnkılap Tarihi I,ÖZLEM DİLBER,Salı 16:40 - 18:30
HIST 201,HIST 201.L,Atatürk İlkeleri ve İnkılap Tarihi I,CANAN BALKAN,Salı 16:40 - 18:30
HIST 201,HIST 201.M,Atatürk İlkeleri ve İnkılap Tarihi I,ALPKAN BİRELMA,Perşembe 14:40 - 16:30
HIST 202,HIST 202.A,Atatürk İlkeleri ve İnkılap Tarihi II,GÜLDENİZ KIBRIS,Salı 16:40 - 18:30
HIST 202,HIST 202.B,Atatürk İlkeleri ve İnkılap Tarihi II,BAŞAK AKGÜL KOVANKAYA,Cuma 16:40 - 18:30
HIST 202,HIST 202.C,Atatürk İlkeleri ve İnkılap Tarihi II,LEMAN MERAL ÜNAL,Pazartesi 16:40 - 18:30
HIST 202,HIST 202.D,Atatürk İlkeleri ve İnkılap Tarihi II,CANAN BALKAN,Çarşamba 16:40 - 18:30
HIST 202,HIST 202.E,Atatürk İlkeleri ve İnkılap Tarihi II,ALPKAN BİRELMA,Perşembe 16:40 - 18:30
HIST 202,HIST 202.F,Atatürk İlkeleri ve İnkılap Tarihi II,BAŞAK AKGÜL KOVANKAYA,Cuma 14:40 - 16:30
MATH 101,MATH 101.A,Sosyal Bilimler için Matematik I,JÜLİDE MİRAY ÖZKAN,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 101,MATH 101.B,Sosyal Bilimler için Matematik I,JÜLİDE MİRAY ÖZKAN,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 101,MATH 101.C,Sosyal Bilimler için Matematik I,AYÇA ÇEŞMELİOĞLU GÜL,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 101,MATH 101.D,Sosyal Bilimler için Matematik I,AYÇA ÇEŞMELİOĞLU GÜL,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 101,MATH 101.E,Sosyal Bilimler için Matematik I,BURÇİN GÜNEŞ,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 101,MATH 101.F,Sosyal Bilimler için Matematik I,BURÇİN GÜNEŞ,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 101,MATH 101.G,Sosyal Bilimler için Matematik I,HANDAN BORLUK,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 101,MATH 101.H,Sosyal Bilimler için Matematik I,HANDAN BORLUK,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 102,MATH 102.A,Sosyal Bilimler için Matematik II,CÜNEYT FERAHLAR,Pazartesi 14:40 - 16:30 / Çarşamba 10:40 - 11:30
MATH 102,MATH 102.B,Sosyal Bilimler için Matematik II,CÜNEYT FERAHLAR,Pazartesi 10:40 - 12:30 / Çarşamba 14:40 - 15:30
MATH 201,MATH 201.A,Sosyal Bilimler için Olasılık,SEÇKİN ÖZBİLEN,Çarşamba 15:40 - 18:30
MATH 201,MATH 201.B,Sosyal Bilimler için Olasılık,SEÇKİN ÖZBİLEN,Salı 08:40 - 11:30
MATH 201,MATH 201.C,Sosyal Bilimler için Olasılık,ZEHRA ZEYNEP ŞAHİNBAŞOĞLU,Çarşamba 15:40 - 18:30
MATH 202,MATH 202.A,Sosyal Bilimler için İstatistik,SEÇKİN ÖZBİLEN,Salı 14:40 - 17:30
MATH 202,MATH 202.B,Sosyal Bilimler için İstatistik,SEÇKİN ÖZBİLEN,Pazartesi 13:40 - 16:30
MGMT 202,MGMT 202.A,Örgütler,CEYDA MADEN EYİUSTA,Çarşamba 09:40 - 12:30
MGMT 202,MGMT 202.B,Örgütler,AYBİKE MERGEN,Cuma 09:40 - 12:30
MGMT 202,MGMT 202.C,Örgütler,NERİMAN GÖKÇAY,Çarşamba 08:40 - 11:30 / Çarşamba 08:40 - 11:30
MGMT 401,MGMT 401.A,Teknoloji ve İnovasyon Yönetimi,ERIK DEN HARTIGH,Cuma 14:40 - 17:30
MGMT 402,MGMT 402.A,Strateji,ALPTEGİN ALBAYRAKTAROĞLU,Cuma 09:40 - 12:30
MIS 100,MIS 100.A,Bilişim Teknolojilerine Giriş,YAVUZ SELİM HİNDİSTAN,Cuma 16:40 - 18:30
MIS 103,MIS 103.A,Bilgisayar Programlamaya Giriş,YAVUZ SELİM HİNDİSTAN,Perşembe 10:40 - 13:30
MIS 203,MIS 203.A,Veritabanı Yönetimi,PELİN ATAHAN DEMİRCİLER,Perşembe 13:40 - 16:30
MIS 301,MIS 301.A,Kurumsal Bilgi Sistemleri,ORÇUN TEMİZKAN,Çarşamba 12:40 - 15:30
MIS 309,MIS 309.A,Sistem Analizi ve Tasarımı,MELTEM ÖZTURAN,Salı 08:40 - 11:30
MKTG 201,MKTG 201.A,Pazarlama,ZEYNEP MÜGE GÜZEL,Pazartesi 12:40 - 15:30
MKTG 201,MKTG 201.B,Pazarlama,CEREN HAYRAN ŞANLI,Pazartesi 12:40 - 15:30
MKTG 201,MKTG 201.C,Pazarlama,CEREN HAYRAN ŞANLI,Çarşamba 08:40 - 11:30
MKTG 201,MKTG 201.D,Pazarlama,BİGE SAATÇİOĞLU,Salı 11:40 - 14:30
MKTG 201,MKTG 201.E,Pazarlama,CEREN HAYRAN ŞANLI,Çarşamba 11:40 - 14:30
OPER 202,OPER 202.A,Operasyon Yönetimi,EYLEM KOCA,Salı 08:40 - 11:30
OPER 202,OPER 202.B,Operasyon Yönetimi,EYLEM KOCA,Perşembe 08:40 - 11:30
OPER 202,OPER 202.C,Operasyon Yönetimi,EYLEM KOCA,Çarşamba 15:40 - 18:30
PSY 100,PSY 100.A,Genel Psikoloji,GÜL CANAN ERGİN,Cuma 15:40 - 18:30
SEC 101,SEC 101.A,Üniversite Yaşamına Giriş,TUFAN ADIGÜZEL,
SEC 101,SEC 101.B,Üniversite Yaşamına Giriş,TUFAN ADIGÜZEL,
SEC 101,SEC 101.C,Üniversite Yaşamına Giriş,TUFAN ADIGÜZEL,
SEC 101,SEC 101.D,Üniversite Yaşamına Giriş,TUFAN ADIGÜZEL,
SEC 201,SEC 201.A,Sektörlere Giriş,DUDU YEŞİM İNCE,Pazartesi 20:40 - 21:30
SEC 202,SEC 202.A,Yetkinlik Yönetimi,MERİÇ BIÇAKCIOĞLU,Pazartesi 18:40 - 19:30
SEC 302,SEC 302.A,Sektörel Çözümler: Yerel Uzmanlık,MERİÇ BIÇAKCIOĞLU,Perşembe 08:40 - 10:30
SEC 302,SEC 302.B,Sektörel Çözümler: Yerel Uzmanlık,MERİÇ BIÇAKCIOĞLU,Perşembe 16:40 - 18:30
SEC 401,SEC 401.A,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
SEC 401,SEC 401.F,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Salı 15:40 - 18:30
TLL 101,TLL 101.A,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.AA,Türk Dili ve Edebiyatı I,ÇİMEN GÜNAY ERKOL,Pazartesi 14:40 - 16:30
TLL 101,TLL 101.AB,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Çarşamba 08:40 - 10:30
TLL 101,TLL 101.AC,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Perşembe 13:40 - 15:30
TLL 101,TLL 101.AD,Türk Dili ve Edebiyatı I,EZGİ HAMZAÇEBİ,Çarşamba 12:40 - 14:30
TLL 101,TLL 101.AE,Türk Dili ve Edebiyatı I,EZGİ HAMZAÇEBİ,Çarşamba 16:40 - 18:30
TLL 101,TLL 101.B,Türk Dili ve Edebiyatı I,SENEM TİMUROĞLU,Pazartesi 16:40 - 18:30
TLL 101,TLL 101.C,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Perşembe 10:40 - 12:30
TLL 101,TLL 101.D,Türk Dili ve Edebiyatı I,ALİ SERDAR,Çarşamba 11:40 - 13:30
TLL 101,TLL 101.E,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.F,Türk Dili ve Edebiyatı I,EGEM ATİK,Pazartesi 16:40 - 18:30
TLL 101,TLL 101.G,Türk Dili ve Edebiyatı I,EGEM ATİK,Perşembe 10:40 - 12:30
TLL 101,TLL 101.H,Türk Dili ve Edebiyatı I,FATMA DAMAK,Çarşamba 11:40 - 13:30
TLL 101,TLL 101.I,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Perşembe 12:40 - 14:30
TLL 101,TLL 101.J,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Pazartesi 16:40 - 18:30
TLL 101,TLL 101.K,Türk Dili ve Edebiyatı I,FATMA DAMAK,Çarşamba 08:40 - 10:30
TLL 101,TLL 101.L,Türk Dili ve Edebiyatı I,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Çarşamba 12:40 - 14:30
TLL 101,TLL 101.M,Türk Dili ve Edebiyatı I,MURAT NARCI,Perşembe 08:40 - 10:30
TLL 101,TLL 101.N,Türk Dili ve Edebiyatı I,MURAT NARCI,Perşembe 11:40 - 13:30
TLL 101,TLL 101.O,Türk Dili ve Edebiyatı I,MURAT NARCI,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.P,Türk Dili ve Edebiyatı I,MURAT NARCI,Çarşamba 10:40 - 12:30
TLL 101,TLL 101.Q,Türk Dili ve Edebiyatı I,GÜNEŞ SEZEN,Perşembe 08:40 - 10:30
TLL 101,TLL 101.R,Türk Dili ve Edebiyatı I,GÜNEŞ SEZEN,Perşembe 11:40 - 13:30
TLL 101,TLL 101.S,Türk Dili ve Edebiyatı I,SENEM TİMUROĞLU,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.T,Türk Dili ve Edebiyatı I,GÜNEŞ SEZEN,Çarşamba 10:40 - 12:30
TLL 101,TLL 101.U,Türk Dili ve Edebiyatı I,FATMA DAMAK,Perşembe 08:40 - 10:30
TLL 101,TLL 101.V,Türk Dili ve Edebiyatı I,FATMA DAMAK,Perşembe 11:40 - 13:30
TLL 101,TLL 101.W,Türk Dili ve Edebiyatı I,EGEM ATİK,Pazartesi 12:40 - 14:30
TLL 101,TLL 101.X,Türk Dili ve Edebiyatı I,SENEM TİMUROĞLU,Salı 11:40 - 13:30
TLL 101,TLL 101.Y,Türk Dili ve Edebiyatı I,ŞENAY ÇINAR,Pazartesi 16:40 - 18:30
TLL 101,TLL 101.Z,Türk Dili ve Edebiyatı I,ÇİMEN GÜNAY ERKOL,Salı 08:40 - 10:30
TLL 102,TLL 102.A,Türk Dili ve Edebiyatı II,GÜNEŞ SEZEN,Salı 16:40 - 18:30
TLL 102,TLL 102.B,Türk Dili ve Edebiyatı II,YAĞMUR YILDIRIMAY,Cuma 16:40 - 18:30
TLL 102,TLL 102.C,Türk Dili ve Edebiyatı II,EZGİ HAMZAÇEBİ,Cuma 10:40 - 12:30
TLL 102,TLL 102.D,Türk Dili ve Edebiyatı II,YAĞMUR YILDIRIMAY,Salı 12:40 - 14:30
TLL 102,TLL 102.E,Türk Dili ve Edebiyatı II,EZGİ HAMZAÇEBİ,Cuma 14:40 - 16:30
TLL 102,TLL 102.F,Türk Dili ve Edebiyatı II,EZGİ HAMZAÇEBİ,Cuma 08:40 - 10:30
TLL 102,TLL 102.G,Türk Dili ve Edebiyatı II,ALİ SERDAR,Cuma 16:40 - 18:30
TLL 102,TLL 102.H,Türk Dili ve Edebiyatı II,YAĞMUR YILDIRIMAY,Salı 16:40 - 18:30
TLL 102,TLL 102.I,Türk Dili ve Edebiyatı II,YAĞMUR YILDIRIMAY,Çarşamba 16:40 - 18:30
TLL 102,TLL 102.J,Türk Dili ve Edebiyatı II,FATMA DAMAK,Cuma 16:40 - 18:30
TLL 102,TLL 102.K,Türk Dili ve Edebiyatı II,FATMA DAMAK,Cuma 14:40 - 16:30
TLL 102,TLL 102.L,Türk Dili ve Edebiyatı II,MURAT NARCI,Pazartesi 16:40 - 18:30
TLL 102,TLL 102.M,Türk Dili ve Edebiyatı II,GÜNEŞ SEZEN,Çarşamba 14:40 - 16:30
TLL 102,TLL 102.N,Türk Dili ve Edebiyatı II,ALİ SERDAR,Çarşamba 08:40 - 10:30
TLL 102,TLL 102.O,Türk Dili ve Edebiyatı II,ŞERİFE SEDA YÜCEKURT ÜNLÜ,Perşembe 10:40 - 12:30
TLL 102,TLL 102.P,Türk Dili ve Edebiyatı II,YAĞMUR YILDIRIMAY,Pazartesi 14:40 - 16:30
BUS 311,BUS 311.A,Staj I,Staj I,
BUS 312,BUS 312.A,Staj II,Staj II,
ACCT 301,ACCT 301.A,Yönetim Muhasebesi,ALİNA TARAN,Çarşamba 12:40 - 15:30
ACCT 301,ACCT 301.B,Yönetim Muhasebesi,ALİNA TARAN,Salı 15:40 - 18:30
BUS 201,BUS 201.A,İş Kararı Modelleme,NAGİHAN ÇÖMEZ DOLGAN,Salı 11:40 - 14:30
BUS 201,BUS 201.B,İş Kararı Modelleme,BO WEI,Salı 11:40 - 14:30
CS 440,CS 440.A,Finansta Makine Öğrenmesi,EMRE SEFER,Pazartesi 09:40 - 12:30
MIS 305,MIS 305.A,İşletmelerde Dijital Dönüşüm,MELİKE NUR FINDIKOĞLU,Pazartesi 15:40 - 18:30
MIS 403,MIS 403.A,Bağımsız Araştırma - MIS,CEYDA MADEN EYİUSTA,
MKTG 311,MKTG 311.A,Pazarlama Araştırması,ZEYNEP MÜGE GÜZEL,Cuma 09:40 - 12:30
OPER 312,OPER 312.A,Tedarik Zinciri Yönetimi,EYLEM KOCA,Çarşamba 08:40 - 11:30
OPER 313,OPER 313.A,Gelir Yönetimi,BAHRİYE CESARET,Pazartesi 08:40 - 11:30
PSY 305,PSY 305.A,İş ve Örgüt Psikolojisi,HAYRİYE CANAN SÜMER,Perşembe 15:40 - 18:30
ACCT 301,ACCT 301.A,Yönetim Muhasebesi,ALİNA TARAN,Çarşamba 12:40 - 15:30
ACCT 301,ACCT 301.B,Yönetim Muhasebesi,ALİNA TARAN,Salı 15:40 - 18:30
AI 202,AI 202.A,Modelleme,TAYLAN AKDOĞAN,Salı 08:40 - 10:30 / Cuma 08:40 - 10:30
ANTH 303,ANTH 303.A,Toplumsal Cinsiyet,BERNA ARSLAN,Perşembe 11:40 - 14:30
ANTH 319,ANTH 319.A,Afetler ve Dayanıklı Kentler,MURAT GÜNEY,Perşembe 11:40 - 14:30
